ratio = 4.23350308948292, flow_size = 0.001526MB
ratio = 3.2971500293246843, flow_size = 1.427113MB
ratio = 3.4538742020974293, flow_size = 3.8735MB
ratio = 4.382593889295866, flow_size = 0.020915MB
ratio = 3.2543094252573477, flow_size = 0.167303MB
ratio = 4.067534912666637, flow_size = 0.036152MB
ratio = 2.1046921479920675, flow_size = 0.240985MB
ratio = 5.523960371807891, flow_size = 0.009768MB
ratio = 6.026673375964788, flow_size = 0.106966MB
ratio = 2.7071634329669547, flow_size = 0.005698MB
ratio = 5.300635815113122, flow_size = 0.792319MB
ratio = 4.787931770309897, flow_size = 0.052689MB
ratio = 6.265606645990077, flow_size = 0.006689MB
ratio = 4.902456528446893, flow_size = 0.02264MB
ratio = 3.9158728970194723, flow_size = 0.029664MB
ratio = 4.023591191993578, flow_size = 0.077292MB
ratio = 5.916215779379619, flow_size = 0.025829MB
ratio = 6.142215804466548, flow_size = 0.049159MB
ratio = 5.241881924820389, flow_size = 0.024524MB
ratio = 3.7998769211348504, flow_size = 3.041236MB
ratio = 5.679966232071857, flow_size = 0.045912MB
ratio = 2.1545067852572712, flow_size = 0.003364MB
ratio = 3.0316498585312566, flow_size = 0.173924MB
ratio = 2.6187507626421467, flow_size = 0.044142MB
ratio = 6.010950937509256, flow_size = 0.003441MB
ratio = 2.559044221934639, flow_size = 0.024893MB
ratio = 6.71443593609935, flow_size = 6.298645MB
ratio = 3.443120191948981, flow_size = 0.072806MB
ratio = 2.048686592638999, flow_size = 0.01295MB
ratio = 5.256693611522463, flow_size = 6.891505MB
ratio = 4.700535223292318, flow_size = 0.021984MB
ratio = 4.307069714652326, flow_size = 4.506652MB
ratio = 4.48181387361487, flow_size = 0.029532MB
ratio = 3.8672414599541622, flow_size = 4.753791MB
ratio = 5.964574892810692, flow_size = 0.04682MB
ratio = 2.8253093188382974, flow_size = 0.117178MB
ratio = 7.376526163809417, flow_size = 1.537726MB
ratio = 5.0796185815793, flow_size = 0.022951MB
ratio = 7.271362207172287, flow_size = 0.047297MB
ratio = 2.1983736665302667, flow_size = 0.457149MB
ratio = 5.8545326359820296, flow_size = 0.053553MB
ratio = 2.3606786458662286, flow_size = 0.00967MB
ratio = 3.2339942049791146, flow_size = 0.153402MB
ratio = 3.651111496342961, flow_size = 0.858572MB
ratio = 4.873560575769692, flow_size = 1.048899MB
ratio = 5.934741090765899, flow_size = 0.03933MB
ratio = 5.111608729650956, flow_size = 8.393018MB
ratio = 2.900305996417685, flow_size = 2.080637MB
ratio = 7.437262544151563, flow_size = 0.066593MB
ratio = 6.346185636720101, flow_size = 0.376824MB
ratio = 4.240333090742761, flow_size = 1.378828MB
ratio = 2.5672433889043695, flow_size = 1.963388MB
ratio = 2.0247095278022686, flow_size = 0.071727MB
ratio = 6.355026789453292, flow_size = 0.113837MB
ratio = 7.510378335927483, flow_size = 0.529124MB
ratio = 4.513256717101446, flow_size = 0.893479MB
ratio = 2.5843185643944917, flow_size = 0.02566MB
ratio = 3.682598291874041, flow_size = 0.708911MB
ratio = 3.039494929034009, flow_size = 0.053242MB
ratio = 2.0426058081645873, flow_size = 0.039043MB
ratio = 3.933859081236582, flow_size = 0.506977MB
ratio = 4.424818009993076, flow_size = 0.03341MB
ratio = 7.586483937409412, flow_size = 8.562187MB
ratio = 5.282266408303737, flow_size = 0.07418MB
ratio = 3.929139139375746, flow_size = 0.034023MB
ratio = 5.201843470779599, flow_size = 1.232448MB
ratio = 5.902058185453734, flow_size = 0.068285MB
