ratio = 36.11731921415633, flow_size = 0.071972MB
ratio = 2.22635232860862, flow_size = 0.065693MB
ratio = 11.69713725140462, flow_size = 0.034494MB
ratio = 5.714764326534892, flow_size = 9.050053MB
ratio = 108.61008298755186, flow_size = 0.188189MB
ratio = 63.305909617612976, flow_size = 0.003684MB
ratio = 2.950929836835877, flow_size = 5.424251MB
ratio = 7.524092974636682, flow_size = 1.543872MB
ratio = 40.70408792025052, flow_size = 1.313826MB
ratio = 46.67449421657829, flow_size = 1.302097MB
ratio = 133.78933165422328, flow_size = 0.033339MB
ratio = 5.189116741549809, flow_size = 5.382684MB
ratio = 77.50293234158204, flow_size = 0.150926MB
ratio = 2.723651191969887, flow_size = 0.052867MB
ratio = 2.074984188340145, flow_size = 3.615927MB
ratio = 22.634200172728146, flow_size = 0.02502MB
ratio = 3.1962697896334853, flow_size = 0.005358MB
ratio = 5.456287287746672, flow_size = 0.004717MB
ratio = 97.47885422915417, flow_size = 0.059825MB
ratio = 120.43262721118148, flow_size = 0.009995MB
ratio = 89.29124606983287, flow_size = 0.044918MB
ratio = 32.46566373061034, flow_size = 0.053774MB
ratio = 2.2468302896359194, flow_size = 0.003281MB
ratio = 23.123175202673295, flow_size = 1.517675MB
ratio = 321.8019003425036, flow_size = 0.008709MB
ratio = 147.07622237106497, flow_size = 0.039404MB
ratio = 22.563405308498993, flow_size = 1.404342MB
ratio = 3.375844196638919, flow_size = 0.026296MB
ratio = 48.505977893074665, flow_size = 0.056099MB
ratio = 8.87133773352489, flow_size = 4.442001MB
ratio = 44.07739130434783, flow_size = 0.024177MB
ratio = 8.360860713282786, flow_size = 1.599701MB
ratio = 35.666056315104164, flow_size = 0.193893MB
ratio = 20.68514929800277, flow_size = 0.805511MB
ratio = 15.440535729422734, flow_size = 0.041455MB
ratio = 218.4153555154329, flow_size = 0.03947MB
ratio = 4.0266212660578855, flow_size = 0.054895MB
ratio = 2.3691413969648782, flow_size = 1.198366MB
ratio = 122.42515246719645, flow_size = 0.02984MB
ratio = 5.083127824641991, flow_size = 1.027672MB
ratio = 2.4722458430162817, flow_size = 8.302678MB
ratio = 116.7961987203613, flow_size = 0.027511MB
ratio = 9.077325560343267, flow_size = 2.585584MB
ratio = 61.87454239635896, flow_size = 0.021291MB
ratio = 46.378300528084495, flow_size = 0.124349MB
ratio = 106.09797181161912, flow_size = 0.004859MB
ratio = 26.483757931622314, flow_size = 0.026694MB
ratio = 94.66108362779741, flow_size = 0.407046MB
ratio = 16.69480119814534, flow_size = 0.191427MB
ratio = 3.0393597180745777, flow_size = 3.028074MB
ratio = 87.89138746678763, flow_size = 0.084818MB
ratio = 70.55209690893902, flow_size = 0.614612MB
ratio = 6.987457384570058, flow_size = 1.034282MB
ratio = 2.491158113730929, flow_size = 0.019143MB
ratio = 16.502695348156312, flow_size = 0.593281MB
ratio = 253.63636363636363, flow_size = 0.004256MB
ratio = 71.2497149372862, flow_size = 0.026254MB
ratio = 226.52006224296989, flow_size = 0.008042MB
ratio = 3.039138438880707, flow_size = 0.274308MB
ratio = 5.901941629014532, flow_size = 0.682124MB
ratio = 3.9619322746091576, flow_size = 3.761182MB
ratio = 48.23545467051864, flow_size = 2.068253MB
ratio = 3.4193075030385676, flow_size = 0.705442MB
ratio = 60.60005733944954, flow_size = 0.033577MB
ratio = 2.523698581281062, flow_size = 2.475899MB
ratio = 40.99644209801446, flow_size = 0.004676MB
ratio = 18.51731406202951, flow_size = 0.059176MB
ratio = 126.16403645648627, flow_size = 0.573401MB
ratio = 25.157045387125482, flow_size = 0.101795MB
ratio = 290.57318487589885, flow_size = 0.001796MB
ratio = 16.190750734507727, flow_size = 0.920634MB
ratio = 155.731802389628, flow_size = 0.041502MB
ratio = 180.50936464920204, flow_size = 0.09882MB
ratio = 18.13016690937605, flow_size = 0.00721MB
ratio = 23.47142306640889, flow_size = 3.52214MB
ratio = 60.13853092783505, flow_size = 0.011829MB
ratio = 65.28724698595288, flow_size = 0.008589MB
ratio = 18.24660243194345, flow_size = 4.719933MB
ratio = 31.67528761444118, flow_size = 1.626978MB
ratio = 72.8757419522551, flow_size = 0.17602MB
ratio = 195.85633333333334, flow_size = 0.008076MB
ratio = 5.074766355140187, flow_size = 0.009211MB
ratio = 2.7540454843647497, flow_size = 1.646153MB
ratio = 9.948693565848378, flow_size = 1.531321MB
ratio = 5.95551565706129, flow_size = 1.019945MB
ratio = 11.881690653266006, flow_size = 7.244386MB
ratio = 80.72336615935542, flow_size = 0.007324MB
ratio = 142.99533880017265, flow_size = 0.038947MB
ratio = 116.77939584768276, flow_size = 0.02199MB
ratio = 12.978378935789907, flow_size = 0.941742MB
ratio = 38.829125302900025, flow_size = 0.053328MB
ratio = 110.40759296370518, flow_size = 0.007895MB
ratio = 42.23023178440723, flow_size = 0.115867MB
ratio = 32.29633445442548, flow_size = 1.301568MB
ratio = 33.81654381654381, flow_size = 0.046374MB
ratio = 3.8110965098751595, flow_size = 1.752341MB
ratio = 151.79374178908395, flow_size = 0.000616MB
ratio = 15.486937049017168, flow_size = 0.046231MB
ratio = 8.539358124091422, flow_size = 2.673982MB
ratio = 2.134399345758189, flow_size = 0.45499MB
ratio = 14.107146369626745, flow_size = 3.17519MB
ratio = 15.24332051820502, flow_size = 0.639114MB
ratio = 50.88460220653738, flow_size = 0.07482MB
ratio = 296.68620325870353, flow_size = 0.002495MB
ratio = 2.005952284935396, flow_size = 4.337253MB
ratio = 11.553245176089597, flow_size = 0.834304MB
ratio = 8.544895470691149, flow_size = 4.625319MB
ratio = 22.551360021386085, flow_size = 0.079204MB
ratio = 98.62185929648241, flow_size = 0.04314MB
ratio = 59.53159128978224, flow_size = 0.256795MB
ratio = 6.882059177908625, flow_size = 5.850166MB
ratio = 303.35730593607303, flow_size = 0.026107MB
ratio = 115.69259187244799, flow_size = 0.391492MB
ratio = 147.40469483568074, flow_size = 0.078586MB
ratio = 8.711625009298519, flow_size = 1.233074MB
ratio = 40.25295453492144, flow_size = 0.158091MB
ratio = 10.75727677960919, flow_size = 7.663172MB
ratio = 8.897087602164154, flow_size = 0.004355MB
ratio = 8.920883534136546, flow_size = 0.009771MB
ratio = 236.67297405723454, flow_size = 0.079121MB
ratio = 39.234759255706884, flow_size = 0.211643MB
ratio = 2.156296800544588, flow_size = 0.03799MB
ratio = 149.00451235312514, flow_size = 0.167724MB
ratio = 347.66368, flow_size = 0.012564MB
ratio = 148.27118055555556, flow_size = 0.038139MB
ratio = 75.15568085556967, flow_size = 0.351311MB
ratio = 31.879630672221598, flow_size = 0.006678MB
ratio = 412.3210473086864, flow_size = 0.006907MB
ratio = 11.987847168563357, flow_size = 1.879926MB
ratio = 35.80098603122432, flow_size = 0.045917MB
ratio = 4.099163054849798, flow_size = 0.060356MB
ratio = 10.573716005543044, flow_size = 1.052058MB
ratio = 160.82706945765938, flow_size = 0.001005MB
